owner,repo,stars,forks,watchers,deleted,private,archived,disabled
joelrfcosta,facerecognition,25,51,4,False,False,False,False
joeyfan,wish-pay,93,51,13,False,False,False,False
johanandren,akka-actor-java8-webinar,63,51,9,False,False,False,False
john-hennig,mph,167,51,8,False,False,False,False
johnjim0816,reinforcement-learning-tutorials,149,51,6,False,False,False,False
johnjim0816,rl-tutorials,149,51,6,False,False,False,False
johnpapa,typescript-async,47,51,5,False,False,False,False
johnpolacek,extra-strength-responsive-grids,254,51,62,False,False,True,False
johnymontana,neo4j-datasets,64,51,7,False,False,False,False
joinpursuit,ac-ios-texttwist,0,51,4,False,False,False,False
joinpursuit,pursuit-core-web-hangman-weekly-assignment,0,51,5,False,False,False,False
jojoin,tppl,214,51,29,False,False,False,False
jomarnavarro,final-project,40,51,2,False,False,False,False
jonaschn,awesome-he,779,51,41,False,False,False,False
jonathanfly,bark,574,51,20,False,False,False,False
jonathontoon,manifest,552,51,12,False,False,False,False
jonathontoon,memgrid,552,51,12,False,False,False,False
jongchank,thread-safe-counter,0,51,1,False,False,False,False
jongwook,onsets-and-frames,165,51,5,False,False,False,False
jongwook,onsets_and_frames,165,51,5,False,False,False,False
jonschlinkert,clone-deep,305,51,6,False,False,False,False
joseestrella89,react-native-dialog-input,58,51,3,False,False,False,False
joseluisq,static-web-server,679,51,10,False,False,False,False
joshlong-attic,reactive-revolution,137,51,18,False,False,False,False
joshlong,reactive-revolution,137,51,18,False,False,False,False
joshmadakorcc,osticket-prereqs,0,51,1,False,False,False,False
joshua-ashton,vphysics-jolt,1090,51,43,False,False,False,False
jossmp,sunatphp,56,51,15,False,False,False,False
josue87,gotator,349,51,5,False,False,False,False
jouwweb,slmqueue,138,51,15,False,False,False,False
jovibor,hexctrl,126,51,11,False,False,False,False
joyghoshs,0install,167,51,6,False,False,False,False
jpedroribeiro,html5-curriculum-vitae-template,53,51,8,False,False,False,False
jperkin,node-openzwave,111,51,15,False,False,False,False
jperla,neural,98,51,13,False,False,False,False
jpirko,libteam,214,51,24,False,False,False,False
jr93,css3-littlehuang,79,51,14,False,False,False,False
jr93,css3-minions,79,51,14,False,False,False,False
jrbasso,cake_ptbr,88,51,13,False,False,False,False
jreinhardt,bolts,256,51,20,False,False,False,False
jrgdiz,snake,26,51,5,False,False,False,False
jrjang2,git-lab,0,51,1,False,False,False,False
jrmanjato,test-cypress,0,51,1,False,False,False,False
js-ojus,flow,362,51,25,False,False,False,False
js-rcon,react-console-emulator,268,51,3,False,False,False,False
js41637,overwatch-halloween-item-tracker,241,51,22,False,False,False,False
js41637,overwatch-item-tracker,241,51,22,False,False,False,False
jscottsmith,react-scroll-parallax-examples,104,51,1,False,False,False,False
jslancerteam,saasgear,255,51,6,False,False,False,False
jsleroy,compare-plugin,211,51,21,False,False,False,False
jsr107,ri,96,51,29,False,False,False,False
jstjohn,seqprep,130,51,19,False,False,False,False
jsuereth,scala-arm,553,51,31,False,False,False,False
jt827859032,drrn-pytorch,194,51,4,False,False,False,False
jthomasmock,quarto-workshop,77,51,4,False,False,False,False
jtimberman,vagrant-cookbook,54,51,28,False,False,False,False
jtroo,kanata,544,51,10,False,False,False,False
jtroo,ktrl,544,51,10,False,False,False,False
juampynr,drupal8ci,152,51,23,False,False,False,False
juanjosanz,aws-pentesting-lab,163,51,11,False,False,False,False
juanortiz10,react-redux-saga-router-skeleton,16,51,1,False,False,False,False
judge0,api-base,74,51,7,False,False,False,False
judge0,compilers,74,51,7,False,False,False,False
jugglingcats,tachograph-reader,71,51,23,False,False,False,False
julesjanssen,chosen,173,51,15,False,False,True,False
juliaacademy,decision-making-under-uncertainty,187,51,13,False,False,False,False
juliagpu,cudanative.jl,396,51,34,False,False,True,False
juliagraphics,winston.jl,166,51,15,False,False,False,False
juliainterop,matlab.jl,236,51,17,False,False,False,False
juliaio,protobuf.jl,185,51,10,False,False,False,False
juliaio,videoio.jl,118,51,12,False,False,False,False
julialang,matlab.jl,236,51,17,False,False,False,False
julialang,roots.jl,273,51,14,False,False,False,False
juliamath,roots.jl,273,51,14,False,False,False,False
julianodenner,java-sistema-vendas,43,51,6,False,False,False,False
julianodenner,sistema-vendas,43,51,6,False,False,False,False
juliaparallel,dagger.jl,503,51,20,False,False,False,False
juliocodes-sm,reels,112,51,7,False,False,False,False
juliogomez,devops,146,51,15,False,False,False,False
jumpserver,jumpserver-python-sdk,58,51,14,False,False,True,False
junegunn,gv.vim,1252,51,15,False,False,False,False
junhaodong,resume,69,51,2,False,False,False,False
junhyukoh,nips2015-action-conditional-video-prediction,117,51,9,False,False,False,False
juniper,openclos,114,51,48,False,False,False,False
junipertcy,networkie,1,51,1,False,False,False,False
junyoungpark,reinforcementlearningatoz,79,51,3,False,False,False,False
jurialmunkey,skin.arctic.horizon,173,51,26,False,False,True,False
juriansluiman,slmqueue,138,51,15,False,False,False,False
justinguese,stable-diffusor-docker-text2image,18,51,1,False,False,False,False
justinguese,stablediffusordocker,18,51,1,False,False,False,False
juxhindb,oob-server,169,51,7,False,False,False,False
jvlflame,javinizer,420,51,24,False,False,False,False
jwarby,jekyll-pygments-themes,179,51,5,False,False,False,False
jy-112553,machine-learning,111,51,2,False,False,False,False
jyny,pasc2at,183,51,6,False,False,True,False
jynychen,pasc2at,183,51,6,False,False,True,False
jyp,dante,380,51,16,False,False,False,False
jython,jython3,291,51,56,False,False,False,False
jytime,mask_rcnn_pytorch,176,51,10,False,False,False,False
k2-xu,vue-express-ejs-node-mysql,158,51,9,False,False,False,False
k33ptoo,drapo-dashboard-javafx,97,51,9,False,False,False,False
k33ptoo,swinginspire,82,51,8,False,False,False,False
k8ssandra,k8ssandra-operator,85,51,13,False,False,False,False
kaczmarkiewiczp,rcloneexplorer,333,51,24,False,False,False,False
kadauchi,mturk-suite,65,51,17,False,False,False,False
kadena-io,juno,453,51,62,False,False,False,False
kafka4beam,kafka_protocol,88,51,23,False,False,False,False
kaifun,pinyin4js,158,51,6,False,False,False,False
kaifuny,pinyin4js,158,51,6,False,False,False,False
kailashchoudhary11,imgman,32,51,3,False,False,False,False
kakaobrain,word2word,339,51,13,False,False,False,False
kala888,nice-router-taro,262,51,13,False,False,False,False
kaler,crashkit,432,51,17,False,False,False,False
kalimatas,php-liquid,154,51,10,False,False,False,False
kaorun343,vue-youtube-embed,423,51,8,False,False,False,False
karina12345,algos-assignment-greedy-and-graphs,0,51,0,False,False,False,False
karlzhu-se,ark-funds-monitor,176,51,8,False,False,False,False
kartarkat,database-connectivity-for-website-using-local-server,417,51,7,False,False,False,False
kartikk221,hyper-express,724,51,16,False,False,False,False
kasra-hosseini,obspydmt,80,51,8,False,False,False,False
katef,libfsm,855,51,22,False,False,False,False
kavyanshpandey,magzine-price-calc,3,51,1,False,False,False,False
kayousterhout,trace-analysis,136,51,19,False,False,False,False
kbingham,libcamera,132,51,9,False,False,False,False
kbr,fritzconnection,252,51,15,False,False,False,False
kbrilla,in28minutes-spring-microservices,27,51,9,False,False,False,False
kchown,naiveboom,128,51,7,False,False,False,False
kcwu,2048-python,75,51,10,False,False,False,False
kdaoudieh,bella,159,51,7,False,False,False,False
kde,kate,490,51,21,False,False,False,False
kdotjpg,new-simplex-style-gradient-noise,473,51,22,False,False,False,False
kdotjpg,opensimplex-2.0,473,51,22,False,False,False,False
kdotjpg,opensimplex2,473,51,22,False,False,False,False
kdseo,pytrader,58,51,18,False,False,False,False
kdyby,console,52,51,10,False,False,False,False
kdyby,formsreplicator,30,51,11,False,False,False,False
kdyby,replicator,30,51,11,False,False,False,False
kebernet,shortyz,96,51,19,False,False,False,False
kedebug,yohub,109,51,18,False,False,False,False
kee-org,keefox,424,51,42,False,False,True,False
keefo,camediatimingfunctionbuilder,693,51,19,False,False,False,False
keefo,catweaker,693,51,19,False,False,False,False
keen,keen-dataviz.js,222,51,28,False,False,False,False
keijiro,kvantstream,340,51,26,False,False,False,False
keijiro,shadowdrawer,353,51,26,False,False,False,False
kellim,farmers-market-finder,23,51,2,False,False,True,False
kellim,neighborhood-map,23,51,2,False,False,True,False
kellimb,farmers-market-finder,23,51,2,False,False,True,False
kelseyhightower,setup-network-environment,129,51,11,False,False,False,False
kengz,awesome-deep-rl,491,51,29,False,False,False,False
kenneycode,opengl3featuresamplesforandroid,208,51,5,False,False,False,False
