owner,repo,stars,forks,watchers,deleted,private,archived,disabled
gvwilson,python-second-language,-1,-1,-1,True,False,False,False
gvwilson,shell-extras,-1,-1,-1,True,False,False,False
gvwilson,software-carpentry-training-website,-1,-1,-1,True,False,False,False
gvwilson,styles,-1,-1,-1,True,False,False,False
gvwilson,ten-rules-robustifying-software,-1,-1,-1,True,False,False,False
gvwilson,uj,-1,-1,-1,True,False,False,False
gvwilson,using-jekyll,-1,-1,-1,True,False,False,False
gvwilson,v4,-1,-1,-1,True,False,False,False
gvwilson,version-control-for-lessons,-1,-1,-1,True,False,False,False
gvwilson,web-app-python,-1,-1,-1,True,False,False,False
gvwilson,web-data-python,-1,-1,-1,True,False,False,False
gvwilson,website,-1,-1,-1,True,False,False,False
gw000,gtxb,-1,-1,-1,True,False,False,False
gw0420,sun-orange,-1,-1,-1,True,False,False,False
gw18,k8s-microservice,-1,-1,-1,True,False,False,False
gw31415,gb_0,-1,-1,-1,True,False,False,False
gwa-tech,ashrafco,-1,-1,-1,True,False,False,False
gwa-tech,ashrafco2020,-1,-1,-1,True,False,False,False
gwa-tech,ashrafco_2020_04,-1,-1,-1,True,False,False,False
gwaan,p5_oc_safetynetalerts,-1,-1,-1,True,False,False,False
gwadoush,advent-of-code-2022,-1,-1,-1,True,False,False,False
gwajeong,iospractice,-1,-1,-1,True,False,False,False
gwajeong,swiftuipractice,-1,-1,-1,True,False,False,False
gwalisonls,ender.code,-1,-1,-1,True,False,False,False
gwalisonls,youtube-clone,-1,-1,-1,True,False,False,False
gwangbaekun,dickforme,-1,-1,-1,True,False,False,False
gwangjae-jung,review_of_general_topology,-1,-1,-1,True,False,False,False
gwangseok2,nuxt.js,-1,-1,-1,True,False,False,False
gwaraujo,simple-atm,-1,-1,-1,True,False,False,False
gwardinski,django-recipe-api,-1,-1,-1,True,False,False,False
gwatcha,emergem,-1,-1,-1,True,False,False,False
gwatfawd20,gwatfawd200031m57k,-1,-1,-1,True,False,False,False
gwatfawd20,gwatfawd200035yixx,-1,-1,-1,True,False,False,False
gwatfawd20,gwatfawd200042l28o,-1,-1,-1,True,False,False,False
gwatfawd20,gwatfawd200070a5xh,-1,-1,-1,True,False,False,False
gwatfawd20,gwatfawd200070h07e,-1,-1,-1,True,False,False,False
gwatfawd20,gwatfawd200070mx44,-1,-1,-1,True,False,False,False
gwatfawd20,gwatfawd2000719vlp,-1,-1,-1,True,False,False,False
gwatfawd20,gwatfawd200090qn2c,-1,-1,-1,True,False,False,False
gwatfawd20,gwatfawd200110p4s4,-1,-1,-1,True,False,False,False
gwatfawd20,gwatfawd200110uaxg,-1,-1,-1,True,False,False,False
gwatfawd20,gwatfawd200110ygo2,-1,-1,-1,True,False,False,False
gwatfawd20,gwatfawd2001404lzn,-1,-1,-1,True,False,False,False
gwatfawd20,gwatfawd2001409pcc,-1,-1,-1,True,False,False,False
gwatfawd20,gwatfawd2001901phk,-1,-1,-1,True,False,False,False
