owner,repo,stars,forks,watchers,deleted,private,archived,disabled
7449,retrofit_rxjava_mvp,131,57,8,False,False,True,False
86hh,dreamloader,131,33,8,False,False,False,False
a1600012888,mutr3d,131,13,7,False,False,False,False
a2,shortcuts-swift,131,10,7,False,False,True,False
a7v8x,express-graphql-demo,131,32,5,False,False,False,False
aappleby,metron,131,10,5,False,False,False,False
aaronpk,indielogin.com,131,17,10,False,False,False,False
abdulfatir,normalizing-flows,131,20,11,False,False,False,False
abel-max,java-study-note,131,69,3,False,False,False,False
abo-abo,worf,131,17,6,False,False,False,False
abrahamjuliot,web-fingerprinting,131,23,14,False,False,False,False
absolute-quantum,doctrineencryptbundle,131,70,9,False,False,False,False
acdvorak,jquery.caret,131,34,9,False,False,False,False
acloudguru-resources,course-aws-certified-developer-associate,131,490,9,False,False,False,False
actionstreetmap,demo,131,33,25,False,False,True,False
adafruit,adafruit-bluefruit-le-desktop,131,33,26,False,False,False,False
adafruit,adafruit-vc0706-serial-camera-library,131,91,41,False,False,False,False
adafruit,circuitpython_community_bundle,131,66,32,False,False,False,False
adafruit,max6675-library,131,114,30,False,False,False,False
adambrodzinski,meteor-flux-leaderboard,131,18,11,False,False,False,False
adammc331,androidstudyguide,131,9,7,False,False,False,False
adavis,adept-android,131,43,12,False,False,False,False
aditya-ai,deep-learning,131,28,20,False,False,False,False
aditya101993,deep-learning,131,28,20,False,False,False,False
aditya101993,deep-learning-examples-using-tensorflow,131,28,20,False,False,False,False
adityar224,random-face-generator,131,24,5,False,False,False,False
adityathebe,telegramforwarder,131,82,6,False,False,True,False
adonisjs,adonis-api-app,131,45,12,False,False,True,False
adrienjoly,landing-page-boilerplate,131,139,4,False,False,False,False
adrobinoga,zk-protocol,131,61,20,False,False,False,False
advancingu,xps13linux,131,1,41,False,False,False,False
aeb-labs,cruddl,131,17,14,False,False,False,False
aemoe,fairy,131,23,17,False,False,False,False
aemoe,fairy.js,131,23,17,False,False,False,False
agateau,yokadi,131,17,13,False,False,False,False
agemor,korean-name-generator,131,0,4,False,False,False,False
agrawalsuneet,loaderspack,131,18,4,False,False,False,False
